en|Desmond William LardnerBurke ID October – was a politician in Rhodesia Desmond LardnerBurke was born 
en|in Kimberley in the Cape of Good Hope on October and was educated at St 
en|Andrew's College Grahamstown LardnerBurke became a He became a leading member of the Dominion and 
en|in was a founder member of the Southern Rhodesian Association of which he soon became 
en|In this merged with Ian Smith's United Group and other organisations to found the Rhodesian 
en|of which he was a prominent LardnerBurke was a supporter of white supremacy and claimed 
en|to support the views of Cecil In he preached a sermon from the pulpit of 
en|the Cathedral of St Mary and All Saints Salisbury in which he claimed that Christ 
en|had never declared that everyone was equal nor that everyone was entitled to equal treatment 
en|He attempted to illustrate how Christian theology could be shown to support At the Southern 
en|Rhodesian general election LardnerBurke was elected for the Gwelo The Rhodesian Front formed the new 
en|government and after a period on the LardnerBurke was appointed Minister for Law and Order 
en|and Justice In this role he gave advice on which political detainees were suitable for 
en|release He also acted as Leader of the The Times described LardnerBurke as "responsible for 
en|the harassment arrest and detention without trial of tens of thousands of black nationalists including 
en|President Mugabe fighting against white rule in the and He first ordered Mugabe to be 
en|detained in December writing "whereas certain information has been placed before me and whereas due 
en|to confidential information which I cannot reveal I am satisfied that you are likely to 
en|commit acts of violence throughout Rhodesia" Mugabe spent the next eleven years in various LardnerBurke 
en|held his seat at the general election and was one of the signatories to the 
en|Unilateral Declaration of Independence UDI signed in Salisbury on November Following the UDI LardnerBurke stepped 
en|up his struggle against militants opposed to the Rhodesian Front He made the possession of 
en|"weapons of war" a mandatory capital offence and to escape this punishment those accused were 
en|expected to demonstrate that they did not intend to endanger In Michael Holman a white 
en|student activist published a poem criticising the Rhodesian Front's racial policy For this he was 
en|arrested but a trial acquitted him of any crime However LardnerBurke used his powers to 
en|immediately have Holman arrested and detained without LardnerBurke again held his seat at the general 
en|election but stood down in By he had been given powers to "arrest without warrant 
en|and detain without communication anyone regarded as a threat to the 'public The white Rhodesian 
en|Government was replaced in and in a government including Mugabe was elected LardnerBurke died in 
en|at St Anne's Hospital Harare In the runup to the Zimbabwean parliamentary election the Movement 
en|for Democratic Change opposition to Mugabe noted that LardnerBurke's name appeared on the electoral roll 
en|for the Mount Pleasant suburb of Harare They alleged that the presence of names such 
en|as LardnerBurke's on the roll would permit Mugabe's ZANUPF party to engage in electoral fraud 
en|by falsely claiming the support of dead people Reports noted the irony of LardnerBurke potentially 
en|Lois Marie Kelso Hunt July – May was an American actress theater director and arts 
en|A native of Oak Park Illinois she studied at the University of Michigan and Columbia 
en|University before pursuing a career as an English and drama teacher Hunt relocated to Alexandria 
en|Virginia in where she acted in local theater productions and served as a director and 
en|producer of a touring production of Malcolm Boyd's They Aren't Real to Me Hunt made 
en|her feature film debut portraying a domineering house mother in The House on Sorority Row 
en|which went on to become a cult film She later appeared onscreen as a guest 
en|star on the series Homicide Life on the Street in and later in a minor 
en|part in the comedy film Head of State Hunt spent much of her later life 
en|dedicated to various humanitarian and philanthropic causes in Alexandria She died at Inova Alexandria Hospital 
en|of pneumonia in aged Hunt was born Lois Marie Kelso in Oak Park Illinois on 
en|July to Hugh Donnally Kelso and Lou Lillian She attended the University of Michigan where 
en|she worked as a member of the student She subsequently earned a graduate degree from 
en|Columbia University and began her career as a schoolteacher teaching English and drama at Passaic 
en|Valley High School and St Mary’s Hall both in New In February she married Leon 
en|Gibson Hunt in Mountain Lakes New In Hunt relocated to Alexandria Virginia and worked as 
en|a stage actress appearing in productions for the Washington DC Arena Stage Studio Theatre Castle 
en|Performing Arts Center and the Jewish Community From to Hunt toured as a director and 
